title,link_mal,release_date,anime_episode,anime_duration,anime_genre,img_link,description,studio,source,show_type
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",https://myanimelist.net/anime/53730/Sokushi_Cheat_ga_Saikyou_sugite_Isekai_no_Yatsura_ga_Marude_Aite_ni_Naranai_n_desu_ga,"Jan 5, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Awaking to absolute chaos and carnage while on a school trip, Yogiri Takatou discovers that everyone in his class has been transported to another world! He had somehow managed to sleep through the entire ordeal himself, missing out on the Gift—powers bestowed upon the others by a mysterious Sage who appeared to transport them. Even worse, he and another classmate were ruthlessly abandoned by their friends, left as bait to distract a nearby dragon. Although not terribly bothered by the thought of dying, he reluctantly decides to protect his lone companion. After all, a lowly Level 1000 monster doesn't stand a chance against his secret power to invoke Instant Death with a single thought! If he can stay awake long enough to bother using it, that is...

(Source: J-Novel Club)",Okuruto Noboru,Light novel,TV
Metallic Rouge,https://myanimelist.net/anime/54794/Metallic_Rouge,"Jan 11, 2024",? eps,22 min ,"['Action', 'Sci-Fi']",,"In a world where humans coexist with androids called Neans, a group known as the Immortal Nine rises up against society. Tasked with disposing of the revolters, a Nean named Rouge Redstar (aka Metal Rouge) and investigator Naomi Orthmann head to Mars to track them down…but first, Rouge wants some chocolate.

(Source: Crunchyroll)",Bones,Original,TV
Nozomanu Fushi no Boukensha,https://myanimelist.net/anime/51648/Nozomanu_Fushi_no_Boukensha,"Jan 8, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Rentt Faina, a 25-year-old adventurer, has been hacking away at monsters for a decade. Without much talent for the job, Rentt finds himself stuck hunting slimes and goblins for meager amounts of coin every day. Little does he know, all this is about to change when he comes across a seemingly undiscovered path in the Water Moon Dungeon.

What awaits him at the end of the path, however, is neither treasure nor riches, but a legendary dragon that wastes no time swallowing him whole! Waking up a short time later, Rentt finds himself not quite dead, but not very alive either―He is nothing more than a pile of bones! Armed with nothing but his trusty sword, tool belt, and ghoulish new looks, Rentt sets off on his quest as a newly reborn skeleton to achieve Existential Evolution, hoping to one day return to civilization with a more human form.

Will Rentt succeed, or will the dungeon consume him for the rest of his un-death...?

(Source: J-Novel Club)",Connect,Light novel,TV
Kekkon Yubiwa Monogatari,https://myanimelist.net/anime/54265/Kekkon_Yubiwa_Monogatari,"Jan 6, 2024",12 eps,23 min ,"['Action', 'Fantasy', 'Romance', 'Ecchi']",,"Satou has been in love with his childhood friend and neighbor, Hime, ever since she and her grandfather appeared out of nowhere 10 years ago. Now a dazzling, yet mysterious high school beauty, she makes it more and more difficult for him to confess his feelings. As the anniversary of their first meeting is nearing, will he muster up his courage to transform their friendship into something more? Or will an entirely different fate await this tightly bonded pair?

(Source: MU)",Staple Entertainment,Manga,TV
Oroka na Tenshi wa Akuma to Odoru,https://myanimelist.net/anime/55129/Oroka_na_Tenshi_wa_Akuma_to_Odoru,"Jan 9, 2024",12 eps,23 min ,"['Comedy', 'Supernatural']",,"Akutsu Masatora is a demon who has infiltrated a high school in the human world. His goal is to find candidates to aid Hell in the fight against their natural enemies, the angels of Heaven. Assigned a seat next to Lily Amane, another student who transferred here not long ago, Akutsu falls prey to her beauty and decides to recruit her to his cause.

But there's more to Lily than meets the eye, and Akutsu not only finds himself an accomplice to one of the very enemies he is supposed to defeat, but he also might have developed feelings for her.

[Written by MAL Rewrite]",Children's Playground Entertainment,Manga,TV
Ishura,https://myanimelist.net/anime/54449/Ishura,"Jan 3, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"In a world where the Demon King has died, a host of demigods capable of felling him have inherited the world. A master fencer who can figure out how to take out their opponents with a single glance; a lancer so swift they can break the sound barrier; a wyvern rogue who fights with three legendary weapons at once; an all-powerful wizard who can speak thoughts into being; an angelic assassin who deals instant death. Eager to attain the title of ""True Hero,"" these champions each pursue challenges against formidable foes and spark conflicts among themselves. The battle to determine the mightiest of the mighty begins.

(Source: Yen Press)",Passione,Light novel,TV
Sasaki to Pii-chan,https://myanimelist.net/anime/52482/Sasaki_to_Pii-chan,"Jan 5, 2024",12 eps,25 min ,"['Adventure', 'Comedy', 'Fantasy']",,"Even though Sasaki's droll corporate life is constantly filled with work, it leaves him tired and unfulfilled at the end of every day. In search of some companionship to fill the emptiness in his life, he visits a pet shop on a whim, not realizing he's about to change his life forever. After settling on an adorable bird and bringing it home...his new roommate reveals that it's actually an incredible sage from another world who promptly bestows Sasaki with supernatural powers as well as the ability to cross between worlds. All Sasaki wants to do is use these newfound powers to live in peace and comfort, but there are more than a few colorful characters who might get in the way of that...

(Source: Yen Press)",SILVER LINK.,Light novel,TV
Bucchigiri?!,https://myanimelist.net/anime/55358/Bucchigiri,"Jan 13, 2024",12 eps,24 min ,"['Comedy', 'Fantasy']",,"Arajin Tomoshibi gets caught up in battles among powerful individuals after reuniting with his former friend Matakara Asamine. Meanwhile, the shadow of a colossal demon appears...?!

(Source: MAL News)",MAPPA,Original,TV
Kyuujitsu no Warumono-san,https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san,"Jan 8, 2024",12 eps,23 min ,"['Fantasy', 'Slice of Life']",,"As a member of a malevolent organization, the General is tasked with invading Earth and wiping out humanity. Even an extraterrestrial being like him, however, needs a chance to rest.

Not even the Rangers—a team solely dedicated to defeating the General and his colleagues—will stand in the way of him visiting pandas at the zoo, buying ice cream at the convenience store, and enjoying his well-deserved day off from committing evil deeds.

[Written by MAL Rewrite]",Shin-Ei Animation,Web manga,TV
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,https://myanimelist.net/anime/53590/Saijaku_Tamer_wa_Gomi_Hiroi_no_Tabi_wo_Hajimemashita,"Jan 12, 2024",12 eps,23 min ,"['Adventure', 'Fantasy']",,"In Ivy's world, stars are everything. She's a Tamer, born to subdue monsters and animals, but she was also born starless! With her life in danger, Ivy flees into the forest where she befriends a weak little slime named Sora—the one creature she can tame. Together, the unlikely pair set off on a journey, salvaging rubbish to survive. Along the way they'll win hearts, evade danger, and discover there's more to starless Ivy than meets the eye! 

(Source: Seven Seas Entertainment)",Studio Massket,Light novel,TV
Gekai Elise,https://myanimelist.net/anime/54632/Gekai_Elise,"Jan 10, 2024",12 eps,23 min ,"['Fantasy', 'Romance']",,"In her first life, the renowned and genius surgeon Dr. Aoi Takamoto was Elise de Clorance, a villainess of noble descent. Elise's selfishness, insolence, and obsessive love for her fiancé—Prince Linden de Romanoff—led to the deaths of her family members and, eventually, herself. Only after being reborn did Elise realize the error of her ways and decide that, instead of ruining lives, she would devote herself to saving them. But a tragic airplane crash robs her of her dreams too soon.

By a miracle, Elise wakes up in her original body before her official engagement to Linden. Recognizing the chance to cherish her loving family and free Linden from an unwanted marriage, Elise wishes to use her advanced medical knowledge to continue down the path of saving lives. In a deal with the emperor, Elise is given only six months to prove that her true place is not on the throne, but rather with the wounded and ailing who desperately need her help.

[Written by MAL Rewrite]",Maho Film,Web manga,TV
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,https://myanimelist.net/anime/52359/Isekai_de_Mofumofu_Nadenade_suru_Tame_ni_Ganbattemasu,"Jan 7, 2024",12 eps,23 min ,"['Adventure', 'Fantasy', 'Slice of Life']",,"Akitsu Midori (27 years old), ends up in another world after dying from overwork?! I got reincarnated in another world after God blessed me with a special ability. This ability is ""to be loved by non-human beings."" Huh?! Meaning that humans might not like me, but all the fluffy animals will love me? Whoaaa! I get to pet a white tiger and dragons to my heart's [content]! After being reborn as Néma, the youngest daughter of a top class noble family, I'm doing my best for the survival of humanity (?) while enjoying this world's fluffiness.

(Source: Coolmic)",EMT Squared,Light novel,TV
"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",https://myanimelist.net/anime/56845/Saikyou_Tank_no_Meikyuu_Kouryaku__Tairyoku_9999_no_Rare_Skill-mochi_Tank_Yuusha_Party_wo_Tsuihou_sareru,"Jan 7, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Rud is a tank of the Hero's Party and is said to have the highest defense ever in history. The party often does labyrinth raids, but to Rud, it means more than just a raid. To cure his beloved sister's illness, he is in search for the wish-granting treasure that might be hidden in those labyrinths. But one day, the arrogant hero kicks him from the party after an unsuccessful raid attempt, blaming it on his skills whose effects he is still unaware of.

With nowhere else to go and nothing to do, he decides to return to his hometown, where his sister is waiting. On his way there, he saves a girl who was being attacked by a monster. Unexpectedly, this girl has an extremely rare skill called ""Appraisal."" Thanks to her skill, Rud is able to discover the truth behind his unknown skills, which turn out to be very powerful skills. With a defense of 9999 and powerful skills, thus begins the adventure of the strongest tank, Rud!

(Source: Square Enix)",Studio Polon,Manga,TV
Ninja Kamui,https://myanimelist.net/anime/56285/Ninja_Kamui,"Feb 11, 2024",12 eps,23 min ,"['Action', 'Sci-Fi']",,"Joe Higan is a Nukenin – a former ninja who escaped his clan and is hiding from his violent past in rural America with his family. One night, he is ambushed by a team of assassins from his former organization who exact a bloody retribution on Joe and his family for betraying their ancient code. Rising from his seeming ""death,"" Joe will re-emerge as his former self – Ninja Kamui – to avenge his family and friends. Kamui is a 21st century ninja, a shadowy anachronism who pits his ancient skills against high-tech weaponry with brutal finesse. He must face off against trained assassins, combat cyborgs, and rival ninjas to bring down the very clan that made him.

(Source: Adult Swim)",E&H Production,Original,TV
"Himesama ""Goumon"" no Jikan desu",https://myanimelist.net/anime/55774/Himesama_Goumon_no_Jikan_desu,"Jan 9, 2024",12 eps,23 min ,"['Comedy', 'Fantasy', 'Gourmet']",,"The princess who's been held captive by the Demon Lord's army is scheduled to be executed by the Demon Lord's relentless torture!

(Source: MU)",PINE JAM,Manga,TV
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,https://myanimelist.net/anime/55973/30-sai_made_Doutei_dato_Mahoutsukai_ni_Nareru_Rashii,"Jan 11, 2024",12 eps,23 min ,"['Boys Love', 'Comedy', 'Supernatural']",,"Office worker Kiyoshi Adachi has gone 30 years of life without ever having his cherry popped. Due to this profound accomplishment, he becomes a wizard with the ability to read minds through physical contact. However, he thinks his newly attained skill is hopelessly lame and has caused him to dislike crowded places.

On the way to his work, Adachi runs into his attractive and well-liked coworker, Yuuichi Kurosawa. Piqued by his personality, he furtively touches Kurosawa and takes a peek at his heart, only to find out that the man holds romantic dreams for a colleague at their office. Adachi attempts to connect the dots, but soon, Kurosawa's fantasies are laid bare—his coworker's perverted thoughts are meant for him! Despite doing his best to concentrate, he can now hardly remain focused with Kurosawa around.

[Written by MAL Rewrite]",Satelight,Manga,TV
Urusei Yatsura (2022) 2nd Season,https://myanimelist.net/anime/54829/Urusei_Yatsura_2022_2nd_Season,"Jan 12, 2024",23 eps,22 min ,"['Comedy', 'Romance', 'Sci-Fi']",,"Second season of Urusei Yatsura (2022).
",David Production,Manga,TV
Sengoku Youko,https://myanimelist.net/anime/56242/Sengoku_Youko,"Jan 11, 2024",37 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"The world is divided into two factions: humans and monsters called katawara. Despite being a katawara, Tama loves humans and vows to protect them from evil, even if it means fighting her own kind. Her brother Jinka, however, hates humans, despite mostly being one. The siblings are joined by a cowardly swordsman named Shinsuke, who wants to learn how to become strong.

When the group uncovers a plot to experiment on humans and transform them into monsters, they vow to defeat whoever is behind it... Even if it means battling an entire army of warriors.

The people they meet, places they see, and creatures they battle will be legendary!

(Source: Tokyopop)",White Fox,Manga,TV
Momochi-san Chi no Ayakashi Ouji,https://myanimelist.net/anime/55998/Momochi-san_Chi_no_Ayakashi_Ouji,"Jan 6, 2024",12 eps,23 min ,"['Fantasy', 'Romance']",,"On her 16th birthday, Himari Momochi receives a letter stating she has inherited a mansion called the ""Momochi House."" Having been raised in an orphanage, this mansion is the only thing left of her real family, so Himari pays no mind to the rumors that it may be haunted. Upon entering it, she meets Aoi Nanamori and his companions, Ise and Yukari, who all seem to be squatting in her new home. Although they warn her to leave the house, Himari vows to be the one to make them leave instead.

But soon, she is attacked by youkai and finds out that the house sits in the space between the world of the living and the spirit realm. Even more surprising, Aoi was chosen to be the guardian of the house—a position originally meant for Himari. But this great power came with an awful price: Aoi can never leave the mansion, and his existence in the human world has been erased. Ignoring his pleas for her to leave the mansion, Himari promises to help Aoi break the housebound curse as she begins living under the same roof as him.

[Written by MAL Rewrite]",Drive,Manga,TV
High Card Season 2,https://myanimelist.net/anime/54869/High_Card_Season_2,"Jan 8, 2024",12 eps,23 min ,"['Action', 'Fantasy']",,Second season of High Card.,Studio Hibari,Mixed media,TV
Shaman King: Flowers,https://myanimelist.net/anime/51673/Shaman_King__Flowers,"Jan 10, 2024",13 eps,23 min ,"['Action', 'Adventure', 'Supernatural']",,"The story will center on You and Anna's son, Hana.",Bridge,Manga,TV
Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,"Jan 14, 2024",? eps,24 min ,['Action'],,Fifth season of Kingdom.,Pierrot,Manga,TV
Pon no Michi,https://myanimelist.net/anime/55397/Pon_no_Michi,"Jan 6, 2024",12 eps,24 min ,"['Comedy', 'Supernatural']",,"Nashiko Jippensha, a high school girl living in Onomichi City, Hiroshima Prefecture, was in trouble after being kicked out of her house. She said, ""I don't have a place to hang out with my friends..."" When Naoko learned that the parlor that her father used to run was now vacant, she decided to rebuild it into a place where everyone could gather.

(Source: Official Site, translated, edited)
",OLM,Original,TV
"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",https://myanimelist.net/anime/57315/Meitou_Isekai_no_Yu_Kaitakuki__Around_40_Onsen_Mania_no_Tensei_Saki_wa_Nonbiri_Onsen_Tengoku_deshita,"Jan 12, 2024",? eps,3 min ,"['Fantasy', 'Ecchi']",,"Kouzou Yukawa is a passionate hot springs enthusiast—a hot springs hunter who was able to sniff out the source of springs. One day, while searching for a hidden hot spring to revitalize a town, he slips off a cliff and dies. He is then reincarnated into another world by an Inari deity of a small shrine hidden in the rocks. Kouzou is joined by Inari's messenger princess, Mayudama. The hot spring hunter within Kouzou is stirred right away, as he takes a bath with Mayudama in the hot spring he just discovered. Then, an elf girl appears...

(Source: MAL News)",BloomZ,Light novel,TV
Synduality: Noir Part 2,https://myanimelist.net/anime/56731/Synduality__Noir_Part_2,"Jan 9, 2024",12 eps,24 min ,"['Action', 'Sci-Fi']",,Part 2 of Synduality: Noir,8bit,Mixed media,TV
